1,1618,0.160
1,2941,0.217
2,333,0.224
3,1445,0.227
3,2946,0.180
4,2063,0.208
5,512,0.219
5,543,0.185
6,503,0.205
7,3130,0.224
8,3523,0.974
9,3561,0.227
10,92,0.683
10,1033,0.426
10,1815,0.210
10,3466,0.899
11,854,0.154
12,3535,0.167
13,1487,0.227
13,2213,0.227
14,668,0.167
15,2354,0.218
16,2795,0.223
17,771,0.199
18,159,0.226
18,3447,0.213
19,282,0.227
20,360,0.224
20,426,0.196
21,1054,0.227
22,1887,0.227
22,2579,0.227
23,562,0.938
23,3087,0.356
24,1774,0.227
25,1259,0.201
26,1409,0.227
27,2965,0.227
28,632,0.171
29,2543,0.215
30,488,0.160
30,509,0.195
30,2642,0.217
30,3607,0.160
31,1776,0.191
31,3709,0.191
32,2386,0.226
33,1298,0.196
34,927,0.215
35,2874,0.217
36,447,0.171
37,2692,0.227
38,3055,0.224
39,3295,0.227
40,236,0.307
40,260,0.185
41,323,0.185
42,427,0.210
43,2003,0.188
44,124,0.625
45,2162,0.183
46,2397,0.674
46,3644,0.196
47,560,0.196
48,1112,0.227
49,1079,0.227
50,1380,0.185
50,2795,0.223
51,396,0.174
51,1564,0.249
52,3437,0.185
53,508,0.213
53,3624,0.174
54,427,0.210
55,284,0.227
56,231,0.180
57,1686,0.154
57,3039,0.171
58,1266,0.151
58,1350,0.151
58,1946,0.633
58,2066,0.213
58,2084,0.213
58,2814,0.900
58,3270,0.151
59,2921,0.167
60,178,0.227
61,146,0.208
61,1470,0.219
61,3706,0.227
62,3066,0.180
63,1213,0.196
63,2043,0.201
64,2980,0.227
65,1992,0.998
65,2461,0.247
65,2732,0.994
66,768,0.185
66,2782,0.207
67,1808,0.227
67,1994,0.717
68,751,0.916
68,1260,0.218
69,276,0.997
70,2292,0.202
71,496,0.191
71,3474,0.213
72,1457,0.226
72,3427,0.205
73,2302,0.185
73,3702,0.207
74,664,0.633
75,1063,0.215
76,2900,0.205
76,3397,0.185
77,2390,0.227
77,3543,0.191
78,2731,0.160
79,719,0.185
79,3550,0.227
80,3546,0.171
81,2617,0.999
82,446,0.191
82,1104,0.191
82,3392,0.191
82,3438,0.191
82,3642,0.191
83,1884,0.249
83,2336,0.188
83,2418,0.188
83,2460,0.157
83,2992,0.224
83,3572,0.188
84,3079,0.208
85,645,0.171
85,951,0.288
86,210,0.201
87,1166,0.227
88,2013,0.213
88,3036,0.853
88,3222,0.271
88,3272,0.530
88,3743,0.235
89,919,0.213
89,2252,0.218
90,2429,0.227
91,1028,0.208
91,3529,0.213
92,160,0.195
92,1257,0.191
92,1332,0.188
92,2001,0.999
92,2966,0.191
92,2994,0.168
93,1650,0.227
94,339,0.208
95,1016,0.174
96,1100,0.208
97,822,0.673
97,940,0.287
97,946,0.224
98,2543,0.853
98,2858,0.193
99,152,0.930
99,391,0.190
99,873,0.162
99,977,0.180
99,1609,0.180
99,2772,0.168
99,3699,0.681
100,475,0.205
100,1470,0.677
101,2139,0.994
101,3070,0.252
102,643,0.187
102,917,0.187
102,2323,0.196
103,208,0.177
103,343,0.307
103,345,0.307
103,647,0.168
103,1555,0.307
103,2244,0.307
103,2596,0.307
103,2874,0.307
104,400,0.216
105,2484,0.191
106,841,0.227
106,1018,0.207
107,1562,0.224
108,1090,0.291
109,313,0.312
110,2508,0.180
110,3009,0.221
111,493,0.227
111,1149,0.227
111,1344,0.210
111,1551,0.210
112,1423,0.154
112,2975,0.221
113,686,0.227
113,2316,0.226
114,1131,0.201
115,2266,0.202
115,2303,0.196
115,2966,0.202
116,1717,0.162
117,151,0.196
118,3577,0.226
119,3465,0.163
120,3636,0.193
121,2979,0.227
122,1058,0.975
122,2730,0.307
122,3070,0.269
122,3103,0.208
122,3447,0.151
123,1745,0.947
123,2316,0.208
123,2438,0.205
124,280,0.625
124,408,0.774
124,467,0.625
124,624,0.625
124,628,0.625
124,699,0.655
124,816,0.625
124,931,0.625
124,1154,0.625
124,1292,0.625
124,1293,0.635
124,1428,0.625
124,1439,0.639
124,1641,0.625
124,2052,0.641
124,2076,0.625
124,2161,0.677
124,2414,0.625
124,2757,0.625
124,2767,0.625
124,2925,0.625
124,2987,0.635
124,3032,0.625
124,3153,0.639
124,3225,0.625
124,3674,0.625
125,2456,0.191
125,2772,0.243
126,1573,0.171
127,316,0.201
128,2890,0.198
129,759,0.226
130,3681,0.199
131,628,0.986
132,1370,0.325
132,2166,0.819
133,277,0.547
133,1833,0.193
134,323,0.185
135,1842,0.208
136,1553,0.205
136,3128,0.227
137,353,0.305
137,3233,0.191
138,1072,0.224
138,3724,0.288
139,590,0.809
139,1439,0.173
140,274,0.215
140,1597,0.188
140,2724,0.221
141,2036,0.208
142,3743,0.205
143,3654,0.193
144,3581,0.227
145,1627,0.185
146,1315,0.218
146,2035,0.227
147,679,0.154
148,1920,0.215
148,3018,0.221
149,767,0.151
150,3098,0.227
151,2116,0.174
151,2125,0.174
152,179,0.530
152,477,0.165
152,607,0.352
152,720,0.180
152,873,0.185
152,931,0.593
152,1198,0.991
152,1252,0.191
152,2158,0.764
152,2369,0.203
152,2682,0.165
152,2994,0.312
152,3023,0.979
152,3699,0.920
153,2461,0.191
154,3296,0.227
155,2963,0.219
156,981,0.227
157,1116,0.231
158,1827,0.307
158,1924,0.198
159,630,0.174
159,1482,0.174
160,184,0.191
160,3439,0.191
161,1100,0.988
162,888,0.198
162,2428,0.219
162,3369,0.151
163,1328,0.226
164,431,0.213
165,1096,0.187
165,2966,0.187
166,2675,0.167
167,758,0.187
168,931,0.168
168,1519,0.184
168,2934,0.198
169,2994,0.993
170,567,0.573
170,3319,0.193
171,2548,0.740
172,302,0.152
173,425,0.185
173,621,0.162
173,2532,0.307
173,2718,0.185
173,3288,0.351
173,3626,0.218
174,893,0.191
174,1641,0.191
174,1720,0.191
175,1375,0.207
175,2391,0.969
176,434,0.227
177,1805,0.224
177,2606,0.167
178,2599,0.212
180,1735,0.299
180,2014,0.228
181,1085,0.201
182,269,0.942
182,725,0.191
182,3096,0.897
183,212,0.434
183,873,0.201
183,2049,0.159
184,431,0.191
184,1396,0.191
184,2156,0.191
184,2681,0.191
185,417,0.224
185,2614,0.167
186,588,0.227
187,257,0.193
188,2013,0.990
189,388,0.210
190,923,0.217
190,1411,0.279
190,1560,0.160
190,2175,0.980
190,2245,0.285
191,1616,0.212
192,2961,0.227
193,1386,0.227
194,1055,0.215
195,805,0.224
195,1217,0.177
195,2272,0.213
195,3290,0.201
196,2678,0.185
197,1225,0.174
197,3478,0.226
198,442,0.215
199,2163,0.167
200,953,0.227
201,3346,0.411
202,863,0.208
202,1539,0.154
202,2450,0.180
202,3534,0.201
203,1283,0.160
203,1675,0.215
204,917,0.219
205,455,0.219
205,752,0.207
205,2009,0.975
206,500,0.219
206,1251,0.675
206,2604,0.207
207,1873,0.212
209,1223,0.881
209,1229,0.788
210,1522,0.207
210,2433,0.162
211,1015,0.210
212,326,0.224
212,1295,0.224
212,2049,0.612
