4,0.175968
5,0.988223
4,0.525465
2,0.782379
2,0.965218
4,0.148223
4,0.955972
5,0.637980
3,0.001883
3,0.502117
4,0.642287
2,0.564053
5,0.114561
4,0.382638
3,0.974849
2,0.995547
2,0.032640
5,0.781429
4,0.211915
4,0.655158
2,0.177315
5,0.685917
2,0.671108
3,0.513292
4,0.606482
2,0.332804
2,0.113563
5,0.220731
2,0.482879
4,0.680464
3,0.830596
4,0.608546
5,0.659782
3,0.421341
5,0.953784
2,0.048831
2,0.879880
4,0.264386
4,0.058645
5,0.223980
4,0.793087
4,0.913897
5,0.453641
2,0.134773
5,0.737997
5,0.394249
4,0.491249
2,0.431829
2,0.392772
5,0.022729
3,0.929669
2,0.477654
5,0.806308
4,0.360538
5,0.519717
4,0.530080
3,0.141302
3,0.219454
4,0.578604
3,0.531464
3,0.169464
5,0.885195
4,0.928509
3,0.811745
3,0.170194
5,0.667836
2,0.906034
2,0.909412
4,0.887529
3,0.577295
3,0.854468
2,0.720050
5,0.551351
5,0.590714
2,0.293731
2,0.446557
3,0.047890
3,0.123908
5,0.648775
5,0.297679
5,0.770127
5,0.918831
4,0.111004
5,0.388503
5,0.098194
5,0.405779
5,0.073172
2,0.948433
4,0.065333
4,0.754478
3,0.661324
2,0.822259
4,0.532786
5,0.685613
2,0.881821
5,0.000530
4,0.948807
5,0.328109
2,0.747605
4,0.058345
